playerID,nameFirst,nameLast,nameGiven,weight,height,bats,throws,position
adenhni01,Nick,Adenhart,Nicholas James,185,75,R,R,C
aderhmo01,Morrie,Aderholt,Morris Woodrow,188,73,L,R,SS
adkinde01,Dewey,Adkins,John Dewey,195,74,R,R,1B
adkindi01,Dick,Adkins,Richard Earl,165,70,R,R,Pitcher
adkindo01,Doc,Adkins,Merle Theron,220,70,R,R,CF
adkingr01,Grady,Adkins,Grady Emmett,175,71,R,R,2B
adkinhe01,Harry,Atkinson,John Harry,,,,,3B
adkinjo01,Jon,Adkins,Jonathan Scott,200,72,L,R,LF
adkinst01,Steve,Adkins,Steven Thomas,210,78,R,L,CF
adlemti01,Tim,Adleman,Timothy Max,225,77,R,R,OF
adlesda01,Dave,Adlesh,David George,187,72,R,R,1B
adriaeh01,Ehire,Adrianza,Ehire Enrique,170,73,B,R,LF
afenitr01,Troy,Afenir,Michael Troy,185,76,R,R,3B
affelje01,Jeremy,Affeldt,Jeremy David,225,76,L,L,C
agbaybe01,Benny,Agbayani,Benny Peter,225,72,R,R,DH
ageeto01,Tommie,Agee,Tommie Lee,195,71,R,R,Pitcher
agganha01,Harry,Agganis,Harry,200,74,L,L,DH
aglerjo01,Joe,Agler,Joseph Abram,165,71,L,L,3B
agnewsa01,Sam,Agnew,Samuel Lester,185,71,R,R,3B
agostju01,Juan,Agosto,Juan Roberto,190,74,L,L,OF
aguaylu01,Luis,Aguayo,Luis,173,69,R,R,3B
aguilch01,Chris,Aguila,Christopher Louis,200,71,R,R,Pitcher
aguilje01,Jesus,Aguilar,Jesus Alexander,250,75,R,R,CF
aguilri01,Rick,Aguilera,Richard Warren,195,76,R,R,RF
aguirha01,Hank,Aguirre,Henry John,205,76,R,L,1B
ahearch01,Bill,Ahearn,William H.,,,,,DH
ahearpa01,Pat,Ahearne,Patrick Howard,195,75,R,R,1B
ahmedni01,Nick,Ahmed,Nicholas Mark,195,74,R,R,SS
aikenwi01,Willie,Aikens,Willie Mays,220,75,L,R,Pitcher
aingeda01,Danny,Ainge,Daniel Ray,175,76,R,R,SS
ainsmed01,Eddie,Ainsmith,Edward Wilbur,180,71,R,R,1B
ainswku01,Kurt,Ainsworth,Kurt Harold,192,75,R,R,OF
aitchra01,Raleigh,Aitchison,Raleigh Leonidas,175,71,R,L,OF
aitonge01,George,Aiton,George Wilson,175,71,B,R,CF
akejo01,John,Ake,John Leckie,180,73,R,R,Pitcher
akerfda01,Darrel,Akerfelds,Darrel Wayne,210,74,R,R,2B
akerja01,Jack,Aker,Jackie Delane,190,74,R,R,RF
akersbi01,Bill,Akers,William G.,178,71,R,R,SS
akersje01,Jerry,Akers,Albert Earl,175,71,R,R,3B
albagi01,Gibson,Alba,Gibson Alberto,160,74,L,L,DH
albaljo01,Jonathan,Albaladejo,Jonathan,270,77,R,R,CF
albanjo01,Joe,Albanese,Joseph Peter,215,75,R,R,1B
alberan01,Andrew,Albers,Andrew William,200,73,R,L,Pitcher
alberbu01,Butch,Alberts,Francis Burt,205,74,R,R,SS
albercy01,Cy,Alberts,Frederick Joseph,230,72,R,R,DH
albergu01,Gus,Alberts,Augustus Peter,180,66,R,R,C
alberha01,Hanser,Alberto,Hanser Joel,215,71,R,R,OF
alberjo01,Jose,Alberro,Jose Edgardo,190,74,R,R,OF
alberma01,Matt,Albers,Matthew James,225,73,L,R,LF
albosed01,Ed,Albosta,Edward John,175,73,R,R,DH
albreed01,Ed,Albrecht,Edward Arthur,165,70,R,R,LF
albrija01,Jack,Albright,Harold John,175,69,R,R,1B
albural01,Al,Alburquerque,Alberto Jose,195,72,R,R,2B
alburvi01,Vic,Albury,Victor,190,72,L,L,DH
alcalsa01,Santo,Alcala,Santo,195,77,R,R,2B
alcanar01,Arismendy,Alcantara,Arismendy,170,70,B,R,RF
alcanis01,Israel,Alcantara,Israel,180,74,R,R,RF
alcanra01,Raul,Alcantara,Raul,220,76,R,R,DH
alcarlu01,Luis,Alcaraz,Angel Luis,165,69,R,R,C
alcocsc01,Scotty,Alcock,John Forbes,160,69,R,R,Pitcher
alderda01,Dale,Alderson,Dale Leonard,190,70,R,R,LF
aldremi01,Mike,Aldrete,Michael Peter,180,71,L,L,Pitcher
aldresc01,Scott,Aldred,Scott Phillip,195,76,L,L,DH
aldrico01,Cory,Aldridge,Cory Jerome,210,72,L,R,Pitcher
aldrija01,Jay,Aldrich,Jay Robert,210,75,R,R,DH
aldrivi01,Vic,Aldridge,Victor,175,69,R,R,OF
alenoch01,Chuck,Aleno,Charles,215,73,R,R,LF
alexabo01,Bob,Alexander,Robert Somerville,205,74,R,R,3B
alexada01,Dale,Alexander,David Dale,210,75,R,R,OF
alexado01,Doyle,Alexander,Doyle Lafayette,190,75,R,R,3B
alexaga01,Gary,Alexander,Gary Wayne,195,74,R,R,Pitcher
alexage01,Gerald,Alexander,Gerald Paul,190,71,R,R,Pitcher
alexahu01,Hugh,Alexander,Hugh,190,72,R,R,CF
alexama01,Matt,Alexander,Matthew,168,71,B,R,3B
alexama02,Manny,Alexander,Manuel de Jesus,150,70,R,R,3B
alexani01,Nin,Alexander,William Henry,163,64,R,R,CF
alexape01,Pete,Alexander,Grover Cleveland,185,73,R,R,RF
alexasc01,Scott,Alexander,Scott Alain,190,74,L,L,C
alexawa01,Walt,Alexander,Walter Ernest,165,70,R,R,OF
alfarja01,Jason,Alfaro,Jason,185,70,R,R,SS
alfarjo01,Jorge,Alfaro,Jorge Mario,225,74,R,R,1B
alfonan01,Antonio,Alfonseca,Antonio,250,77,R,R,DH
alfoned01,Edgardo,Alfonzo,Edgardo Antonio,210,71,R,R,RF
alfonel01,Eliezer,Alfonzo,Eliezer Jesus,220,71,R,R,C
alicelu01,Luis,Alicea,Luis Rene,165,69,B,R,OF
allanan01,Andy,Allanson,Andrew Neal,220,77,R,R,OF
allarbr01,Brian,Allard,Brian Marshall,175,73,R,R,3B
allenbe01,Bernie,Allen,Bernard Keith,175,72,L,R,2B
allenbo01,Bob,Allen,Robert Gilman,175,71,R,R,3B
allenbo02,Bob,Allen,Robert,180,70,R,R,DH
allenbo03,Bob,Allen,Robert Earl,165,73,R,R,Pitcher
allenbo04,Bob,Allen,Robert Gray,175,74,L,L,C
allenbr01,Brandon,Allen,Brandon Durell,230,74,L,R,RF
allench01,Chad,Allen,John Chad,195,73,R,R,RF
allenco01,Cody,Allen,Cody Edward,210,73,R,R,CF
allendi01,Dick,Allen,Richard Anthony,187,71,R,R,DH
allendu01,Dusty,Allen,Dustin R.,215,76,R,R,1B
allenet01,Ethan,Allen,Ethan Nathan,180,73,R,R,SS
allenfr01,Frank,Allen,Frank Leon,175,69,R,L,DH
allenga01,Gary,Allenson,Gary Martin,185,71,R,R,RF
allenha01,Ham,Allen,Frank Erwin,,64,,,SS
allenha02,Hank,Allen,Harold Andrew,190,72,R,R,LF
allenhe01,Hezekiah,Allen,Hezekiah,160,71,,,DH
allenho01,Horace,Allen,Horace Tanner,187,72,L,R,SS
allenja01,Jack,Allen,Cyrus Alban,160,,R,R,SS
allenja02,Jamie,Allen,James Bradley,205,72,R,R,1B
allenje01,Jermaine,Allensworth,Jermaine LaMont,178,72,R,R,SS
allenjo01,John,Allen,John Marshall,170,73,R,R,SS
allenjo02,Johnny,Allen,John Thomas,180,72,R,R,CF
allenki01,Kim,Allen,Kim Bryant,175,71,R,R,OF
allenll01,Lloyd,Allen,Lloyd Cecil,185,73,R,R,CF
allenlu01,Luke,Allen,Lucas Gale,208,74,L,R,RF
allenmy01,Myron,Allen,Myron Smith,150,68,R,R,3B
allenne01,Neil,Allen,Neil Patrick,185,75,R,R,LF
allenni01,Nick,Allen,Artemus Ward,180,72,R,R,LF
allenpe01,Pete,Allen,Jesse Hall,185,68,R,R,Pitcher
allenro01,Ron,Allen,Ronald Frederick,205,75,B,R,SS
allenro02,Rod,Allen,Roderick Bernet,185,73,R,R,CF
allensl01,Sled,Allen,Fletcher Manson,180,73,R,R,SS
alleyge01,Gene,Alley,Leonard Eugene,160,70,R,R,CF
alliebo01,Bob,Allietta,Robert George,190,72,R,R,1B
alliega01,Gair,Allie,Gair Roosevelt,190,73,R,R,RF
allisan01,Andy,Allison,Andrew Kent,150,70,,,Pitcher
allisar01,Art,Allison,Arthur Algernon,150,68,,,1B
allisbi01,Bill,Allison,William,,,,,Pitcher
allisbo01,Bob,Allison,William Robert,205,75,R,R,DH
allisda01,Dana,Allison,Dana Eric,215,75,R,L,RF
allisdo01,Doug,Allison,Douglas L.,160,70,R,R,RF
allisma01,Mack,Allison,Mack Pendleton,185,73,R,R,SS
allismi01,Milo,Allison,Milo Henry,163,72,L,R,RF
allrebe01,Beau,Allred,Dale LeBeau,190,72,L,L,DH
almadme01,Mel,Almada,Baldomero Melo,170,72,L,L,3B
almanar01,Armando,Almanza,Armando,205,75,L,L,3B
almanca01,Carlos,Almanzar,Carlos Manuel,166,74,R,R,RF
almeira01,Rafael,Almeida,Rafael D.,164,69,R,R,LF
almonab01,Abraham,Almonte,Abraham,210,69,B,R,DH
almonbi01,Bill,Almon,William Francis,180,75,R,R,1B
almoned01,Edwin,Almonte,Edwin,200,75,R,R,SS
almoner01,Erick,Almonte,Erick R.,245,74,R,R,1B
almonhe01,Hector,Almonte,Hector Radhames,190,74,R,R,C
almonmi01,Miguel,Almonte,Miguel Emilio,210,74,R,R,DH
almonzo01,Zoilo,Almonte,Zoilo Manuel,205,72,B,R,C
almoral01,Albert,Almora,Reinaldo Albert,190,74,R,R,OF
alomalu01,Luis,Aloma,Luis,195,74,R,R,DH
alomaro01,Roberto,Alomar,Roberto,184,72,B,R,Pitcher
alomasa01,Sandy,Alomar,Santos,140,69,B,R,SS
alomasa02,Sandy,Alomar,Santos,200,77,R,R,Pitcher
alonsyo01,Yonder,Alonso,Yonder,230,73,L,R,OF
aloufe01,Felipe,Alou,Felipe Rojas,195,72,R,R,RF
alouje01,Jesus,Alou,Jesus Maria Rojas,190,74,R,R,DH
alouma01,Matty,Alou,Mateo Rojas,160,69,L,L,2B
aloumo01,Moises,Alou,Moises Rojas,185,75,R,R,CF
alperwh01,Whitey,Alpermann,Charles Augustus,180,70,R,R,RF
alstode01,Dell,Alston,Wendell,180,72,L,R,2B
alstoga01,Garvin,Alston,Garvin James,185,74,R,R,2B
alstoto01,Tom,Alston,Thomas Edison,210,77,L,R,C
alstowa01,Walter,Alston,Walter Emmons,195,74,R,R,3B
altampo01,Porfi,Altamirano,Porfirio,175,72,R,R,CF
altavda01,Dan,Altavilla,Daniel,200,71,R,R,Pitcher
altener01,Ernie,Alten,Ernest Matthias,175,72,R,L,Pitcher
altenje01,Jesse,Altenburg,Jesse Howard,158,69,L,R,3B
altheaa01,Aaron,Altherr,Aaron Samuel,215,77,R,R,CF
altizda01,Dave,Altizer,David Tilden,160,70,L,R,RF
altmage01,George,Altman,George Lee,200,76,L,R,1B
altobjo01,Joe,Altobelli,Joseph Salvatore,185,72,L,L,2B
altroni01,Nick,Altrock,Nicholas,197,70,B,L,CF
altuvjo01,Jose,Altuve,Jose Carlos,165,66,R,R,SS
alusige01,George,Alusik,George Joseph,175,75,R,R,RF
alvarab01,Abe,Alvarez,Abraham,190,74,L,L,C
alvarcl01,Clemente,Alvarez,Clemente Rafael,180,71,R,R,LF
alvarda01,Dario,Alvarez,Dario Rafael,170,73,L,L,OF
alvarda02,Dariel,Alvarez,Dariel,180,74,R,R,OF
alvarga01,Gabe,Alvarez,Gabriel de Jesus,185,73,R,R,C
alvarhe01,Henderson,Alvarez,Henderson Javier,205,72,R,R,Pitcher
alvarjo01,Jose,Alvarez,Jose Lino,170,70,R,R,LF
alvarjo02,Jose,Alvarez,Jose Ricardo,190,71,L,L,SS
alvarju01,Juan,Alvarez,Juan M.,180,73,L,L,1B
alvarlu01,Luis,Alvarado,Luis Cesar,162,69,R,R,2B
alvaror01,Orlando,Alvarez,Jesus Manuel Orlando,165,72,R,R,OF
alvaros01,Ossie,Alvarez,Oswaldo,165,70,R,R,3B
alvarpe01,Pedro,Alvarez,Pedro Manuel,250,75,L,R,C
alvarrj01,R. J.,Alvarez,Roy Emilio,225,74,R,R,RF
alvarro01,Rogelio,Alvarez,Rogelio,183,71,R,R,CF
alvarta01,Tavo,Alvarez,Cesar Octavio,245,75,R,R,1B
alvarto01,Tony,Alvarez,Antonio Enrique,200,73,R,R,C
alvarvi01,Victor,Alvarez,Victor Aurelio,150,70,L,L,2B
alvarwi01,Wilson,Alvarez,Wilson Eduardo,175,73,L,L,2B
alvisma01,Max,Alvis,Roy Maxwell,185,71,R,R,CF
alvorbi01,Billy,Alvord,William Crawford,187,70,R,R,LF
alyeabr01,Brant,Alyea,Garrabrant Ryerson,215,75,R,R,2B
amalfjo01,Joey,Amalfitano,John Joseph,175,71,R,R,OF
amarari01,Rich,Amaral,Richard Louis,175,72,R,R,2B
amarial01,Alexi,Amarista,Alexi Jose,160,66,L,R,C
amaroru01,Ruben,Amaro,Ruben,170,71,R,R,3B
amaroru02,Ruben,Amaro,Ruben,170,70,B,R,1B
amblewa01,Wayne,Ambler,Wayne Harper,165,68,R,R,DH
ambrech01,Chip,Ambres,Raymond Payne,190,73,R,R,1B
ambrihe01,Hector,Ambriz,Hector,235,74,L,R,CF
amelued01,Ed,Amelung,Edward Allen,180,71,L,L,Pitcher
amesre01,Red,Ames,Leon Kessling,185,70,B,R,OF
amesst01,Steve,Ames,Steven C.,205,73,R,R,LF
amezaal01,Alfredo,Amezaga,Alfredo,165,71,B,R,2B
amoledo01,Doc,Amole,Morris F.,165,69,R,L,C
amorosa01,Sandy,Amoros,Edmundo,170,67,L,L,DH
amorvi01,Vicente,Amor,Vicente,182,75,R,R,OF
anckewa01,Walter,Ancker,Walter,190,73,R,R,CF
anderal01,Alf,Anderson,Alfred Walton,165,71,R,R,OF
anderal02,Allan,Anderson,Allan Lee,178,71,L,L,SS
anderan01,Andy,Anderson,Andy Holm,172,71,R,R,1B
anderbi01,Bill,Anderson,William Edward,165,73,R,L,DH
anderbo01,Bob,Anderson,Robert Carl,210,76,R,R,DH
anderbr01,Brady,Anderson,Brady Kevin,170,73,L,L,Pitcher
anderbr02,Brian,Anderson,Brian James,190,73,B,L,2B
anderbr03,Brian,Anderson,Brian Nikola,220,74,R,R,2B
anderbr04,Brett,Anderson,Brett Franklin,230,75,L,L,3B
anderbr05,Bryan,Anderson,Bryan Douglas,200,73,L,R,1B
anderbu01,Bud,Anderson,Karl Adam,210,75,R,R,3B
anderch01,Chase,Anderson,Robert Chase,200,73,R,R,SS
anderco01,Cody,Anderson,Cody Andrew,240,76,R,R,CF
andercr01,Craig,Anderson,Norman Craig,205,74,R,R,SS
anderda01,Dave,Anderson,David S.,,,,L,SS
anderda02,Dave,Anderson,David Carter,185,74,R,R,SS
anderdr01,Drew,Anderson,Drew Thomas,195,74,L,R,CF
anderdw01,Dwain,Anderson,Dwain Cleaven,165,71,R,R,OF
anderfe01,Ferrell,Anderson,Ferrell Jack,200,73,R,R,CF
anderfr01,Fred,Anderson,John Frederick,180,74,R,R,Pitcher
anderga01,Garret,Anderson,Garret Joseph,190,75,L,L,DH
anderge01,George,Anderson,George Jendrus,160,68,L,R,1B
andergo01,Goat,Anderson,Edward John,,,L,R,1B
anderha01,Hal,Anderson,Harold,160,71,R,R,2B
anderha02,Harry,Anderson,Harry Walter,205,75,L,R,SS
anderja01,Jason,Anderson,Jason Roger,188,72,L,R,3B
anderji01,Jim,Anderson,James Lea,170,72,R,R,C
anderji02,Jimmy,Anderson,James Drew,195,73,L,L,C
anderjo01,John,Anderson,John Joseph,180,74,B,R,2B
anderjo02,John,Anderson,John Charles,190,73,R,R,SS
anderjo03,Josh,Anderson,Joshua Aaron,195,74,L,R,Pitcher
anderke01,Kent,Anderson,Kent McKay,180,73,R,R,C
anderla01,Larry,Anderson,Lawrence Dennis,190,75,R,R,2B
anderla02,Larry,Andersen,Larry Eugene,200,75,R,R,OF
anderla03,Lars,Anderson,Lars Eric,215,76,L,L,Pitcher
anderma01,Matt,Anderson,Matthew Jason,200,76,R,R,DH
anderma02,Marlon,Anderson,Marlon Ordell,190,70,L,R,3B
andermi01,Mike,Anderson,Michael Allen,200,74,R,R,DH
andermi02,Mike,Anderson,Michael James,200,75,R,R,1B
anderre01,Red,Anderson,Arnold Revola,210,75,R,R,LF
anderri01,Rick,Anderson,Richard Lee,210,74,R,R,DH
anderri02,Rick,Anderson,Richard Arlen,175,72,R,R,SS
andersc01,Scott,Anderson,Scott Richard,190,78,R,R,1B
andersp01,Sparky,Anderson,George Lee,170,69,R,R,SS
anderti01,Tim,Anderson,Timothy Devon,185,73,R,R,OF
anderty01,Tyler,Anderson,Tyler John,210,76,L,L,3B
anderva01,Varney,Anderson,Warner Samuel,165,70,R,R,LF
anderwa01,Walter,Anderson,Walter Carl,160,74,L,L,1B
anderwi01,Wingo,Anderson,Wingo Charlie,150,70,L,L,LF
andinro01,Robert,Andino,Robert Lazaro,185,71,R,R,2B
andrast01,Steve,Andrade,Stephen Michael,220,73,R,R,Pitcher
andrecl01,Clayton,Andrews,Clayton John,175,72,R,L,LF
andreed01,Ed,Andrews,George Edward,160,68,R,R,C
andreel01,Elbert,Andrews,Elbert DeVore,175,72,L,R,C
andreer01,Ernie,Andres,Ernest Henry,200,73,R,R,LF
andrefr01,Fred,Andrews,Fred,163,68,R,R,Pitcher
andrehu01,Hub,Andrews,Hubert,170,72,R,R,LF
andreiv01,Ivy,Andrews,Ivy Paul,200,73,R,R,1B
andreji01,Jim,Andrews,James Pratt,,,,,CF
andrejo01,John,Andre,John Edward,200,76,L,R,1B
andrejo02,John,Andrews,John Richard,175,70,L,L,C
andreki01,Kim,Andrew,Kim Darrell,160,70,R,R,CF
andremi01,Mike,Andrews,Michael Jay,195,75,R,R,1B
andrena01,Nate,Andrews,Nathan Hardy,195,72,R,R,DH
andrero01,Rob,Andrews,Robert Patrick,185,72,R,R,LF
andresh01,Shane,Andrews,Darrell Shane,215,73,R,R,3B
andrest01,Stan,Andrews,Stanley Joseph,178,71,R,R,OF
andrewa01,Wally,Andrews,William Walter,170,75,R,R,DH
andrima01,Matt,Andriese,Matthew Lee,215,75,R,R,C
andrubi01,Bill,Andrus,William Morgan,185,72,R,R,SS
andruel01,Elvis,Andrus,Elvis Augusto,200,72,R,R,3B
andrufr01,Fred,Andrus,Frederick Hotham,185,74,R,R,DH
andruwi01,Wyman,Andrus,William Wiman,155,66,,,C
andujjo01,Joaquin,Andujar,Joaquin,170,72,B,R,C
andujlu01,Luis,Andujar,Luis,175,74,R,R,C
angelno01,Norm,Angelini,Norman Stanley,175,71,L,L,Pitcher
anglema01,Matt,Angle,Matthew Ryan,185,69,L,R,OF
angleto01,Tom,Angley,Thomas Samuel,190,68,L,R,C
ankenpa01,Pat,Ankenman,Frederick Norman,125,64,R,R,Pitcher
ankieri01,Rick,Ankiel,Richard Alexander,210,73,L,L,3B
annade01,Dean,Anna,Dean William,180,71,L,R,DH
annisbi01,Bill,Annis,William Perley,150,67,R,,RF
ansonca01,Cap,Anson,Adrian Constantine,227,72,R,R,C
anthoer01,Eric,Anthony,Eric Todd,195,74,L,L,DH
antoldu01,Dustin,Antolin,Dustin Kamakana Mai Ku'u Makualani,230,74,R,R,3B
antoljo01,Joe,Antolick,Joseph,185,72,R,R,C
antonbi01,Bill,Antonello,William James,185,71,R,R,DH
antonjo01,John,Antonelli,John Lawrence,165,70,R,R,LF
antonjo02,Johnny,Antonelli,John August,185,73,L,L,OF
antonma01,Matt,Antonelli,Matthew Antonio,195,73,R,R,RF
aokino01,Nori,Aoki,Norichika,180,69,L,R,SS
aparilu01,Luis,Aparicio,Luis Ernesto,160,69,R,R,DH
apodabo01,Bob,Apodaca,Robert John,170,71,R,R,DH
apontlu01,Luis,Aponte,Luis Eduardo,185,72,R,R,3B
appieke01,Kevin,Appier,Robert Kevin,180,74,R,R,3B
appleed01,Ed,Appleton,Edward Samuel,173,72,R,R,SS
applefr01,Fred,Applegate,Frederick Romaine,180,74,R,R,OF
applepe01,Pete,Appleton,Peter William,180,71,R,R,DH
applilu01,Luke,Appling,Lucius Benjamin,183,70,R,R,SS
aquingr01,Greg,Aquino,Gregori Emilio,190,73,R,R,Pitcher
aquinja01,Jayson,Aquino,Jayson Julio,225,73,L,L,SS
aquinlu01,Luis,Aquino,Luis Antonio,155,72,R,R,DH
aragoan01,Angel,Aragon,Angel,150,65,R,R,SS
aragoja01,Jack,Aragon,Angel Valdes,176,70,R,R,RF
araujel01,Elvis,Araujo,Elvis Alejandro,275,79,L,L,1B
archdma01,Maurice,Archdeacon,Maurice John,153,68,L,L,1B
archech01,Chris,Archer,Christopher Alan,190,75,R,R,2B
archefr01,Fred,Archer,Frederick Marvin,193,72,L,L,C
archeji01,Jimmy,Archer,James Patrick,168,70,R,R,Pitcher
archeji02,Jim,Archer,James William,190,72,R,L,Pitcher
archige01,George,Archie,George Albert,170,72,R,R,CF
